caseno,SepalLength,SepalWidth,PetalLength,PetalWidth,Species
59,6.6,2.9,4.6,1.3,versicolor
85,5.4,3,4.5,1.5,versicolor
97,5.7,2.9,4.2,1.3,versicolor
29,5.2,3.4,1.4,0.2,setosa
148,6.5,3,5.2,2,virginica
111,6.5,3.2,5.1,2,virginica
122,5.6,2.8,4.9,2,virginica
56,5.7,2.8,4.5,1.3,versicolor
64,6.1,2.9,4.7,1.4,versicolor
88,6.3,2.3,4.4,1.3,versicolor
42,4.5,2.3,1.3,0.3,setosa
113,6.8,3,5.5,2.1,virginica
112,6.4,2.7,5.3,1.9,virginica
5,5,3.6,1.4,0.2,setosa
51,7,3.2,4.7,1.4,versicolor
7,4.6,3.4,1.4,0.3,setosa
87,6.7,3.1,4.7,1.5,versicolor
73,6.3,2.5,4.9,1.5,versicolor
19,5.7,3.8,1.7,0.3,setosa
129,6.4,2.8,5.6,2.1,virginica
27,5,3.4,1.6,0.4,setosa
52,6.4,3.2,4.5,1.5,versicolor
16,5.7,4.4,1.5,0.4,setosa
83,5.8,2.7,3.9,1.2,versicolor
125,6.7,3.3,5.7,2.1,virginica
130,7.2,3,5.8,1.6,virginica
45,5.1,3.8,1.9,0.4,setosa
138,6.4,3.1,5.5,1.8,virginica
117,6.5,3,5.5,1.8,virginica